endpoint,app_telemetry_endpoint,app_requests,average_requests_per_minute,peak_requests_per_minute,app_share_percent,nginx_matching_requests,response_bytes,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,total_request_seconds,total_upstream_seconds,nginx_4xx,nginx_5xx,match
GET /assets/manifest,GET /assets/manifest,1859,30.983333333333334,51,9.46682283444518,1859,343915,4.040344271113502,3.0,9.0,24.0,145.0,7.511,7.51,0,0,exact normalized path
GET /races/:id/messages,GET /races/:id/messages,1657,27.616666666666667,76,8.438152467281153,1657,3829854,65.45383222691612,45.0,179.0,338.0,599.0,108.457,108.457,0,0,exact normalized path
POST /steps/sync-v2,POST /steps/sync-v2,1522,25.366666666666667,42,7.750674746651729,1522,694522,235.9875164257556,132.0,735.0,1493.0,3411.0,359.173,359.014,2,0,exact normalized path
GET /races,GET /races,1179,19.65,35,6.00397209349697,1179,6001715,303.1458863443596,224.0,787.0,1192.0,2850.0,357.409,357.409,0,0,exact normalized path
POST /analytics/activation-events,POST /analytics/activation-events,1120,18.666666666666668,36,5.70351886744411,1120,30251,24.430357142857144,16.0,64.0,110.0,278.0,27.362,27.17,0,0,exact normalized path
GET /home/race-card,GET /home/race-card,1102,18.366666666666667,32,5.611855171360188,1102,1895591,278.64519056261344,188.0,790.0,1292.0,2364.0,307.067,307.068,0,0,exact normalized path
GET /powerups/inventory,GET /powerups/inventory,1080,18.0,54,5.499821765035392,1080,44985,6.79074074074074,5.0,18.0,34.0,86.0,7.334,7.334,0,0,exact normalized path
GET /steps/race-resolution/:id,GET /steps/race-resolution/:id,1073,17.883333333333333,32,5.464174772113867,1073,201059,22.855545200372788,15.0,62.0,121.0,265.0,24.524,24.529,0,0,exact normalized path
GET /races/:id/progress,GET /races/:id/progress,809,13.483333333333333,50,4.119773896216326,809,2712658,206.4610630407911,141.0,563.0,977.0,1781.0,167.027,167.026,0,0,exact normalized path
GET /auth/me,GET /auth/me,808,13.466666666666667,26,4.114681468656109,808,538790,32.603960396039604,23.0,90.0,146.0,275.0,26.344,26.343,0,0,exact normalized path
GET /races/invite-preflight,GET /races/invite-preflight,736,12.266666666666667,28,3.7480266843204157,736,46299,32.46603260869565,23.0,83.0,147.0,319.0,23.895,23.895,0,0,exact normalized path
GET /races/:id/private-impact-feed,GET /races/:id/private-impact-feed,536,8.933333333333334,24,2.7295411722768246,536,654681,38.082089552238806,28.0,97.0,160.0,248.0,20.412,20.411,0,0,exact normalized path
GET /inbox/alerts,GET /inbox/alerts,529,8.816666666666666,20,2.693894179355299,529,210257,41.95085066162571,26.0,116.0,229.0,661.0,22.192,22.192,0,0,exact normalized path
GET /app-version/policy,GET /app-version/policy,475,7.916666666666667,13,2.418903091103529,475,214,3.0210526315789474,2.0,7.0,13.0,35.0,1.435,1.434,0,0,exact normalized path
POST /races/results/double-payout/:id/claim,POST /races/results/double-payout/:id/claim,460,7.666666666666667,30,2.3425166777002597,460,31280,104.13695652173914,70.0,295.0,503.0,898.0,47.903,47.873,460,0,exact normalized path
GET /powerups/catalog,GET /powerups/catalog,458,7.633333333333334,13,2.3323318225798237,458,69626,7.329694323144105,4.0,24.0,52.0,124.0,3.357,3.356,0,0,exact normalized path
GET /home/suggested-races,GET /home/suggested-races,452,7.533333333333333,14,2.3017772572185162,452,400066,87.65929203539822,67.0,225.0,306.0,366.0,39.622,39.622,0,0,exact normalized path
GET /races/discovery-summary,GET /races/discovery-summary,356,5.933333333333334,16,1.8129042114375924,356,304100,159.78932584269663,114.0,386.0,745.0,1080.0,56.885,56.886,0,0,exact normalized path
POST /analytics/foreground,POST /analytics/foreground,356,5.933333333333334,10,1.8129042114375924,356,6052,44.11516853932584,29.0,129.0,212.0,316.0,15.705,15.688,0,0,exact normalized path
GET /races/:id/bootstrap,GET /races/:id/bootstrap,339,5.65,15,1.726332942913887,339,1409114,195.17109144542772,132.0,530.0,761.0,1563.0,66.163,66.163,0,0,exact normalized path
GET /races/:id/active-impact-notices,GET /races/:id/active-impact-notices,319,5.316666666666666,13,1.624484391709528,319,95488,31.5141065830721,21.0,81.0,176.0,260.0,10.053,10.051,0,0,exact normalized path
GET /friends,GET /friends,298,4.966666666666667,11,1.5175434129449508,298,159353,30.47986577181208,18.0,86.0,244.0,387.0,9.083,9.082,0,0,exact normalized path
GET /onboarding/starter-reward,GET /onboarding/starter-reward,274,4.566666666666666,12,1.3953251514997198,274,31595,24.215328467153284,18.0,59.0,83.0,155.0,6.635,6.635,0,0,exact normalized path
POST /races/:id/chat/read,POST /races/:id/chat/read,272,4.533333333333333,12,1.385140296379284,272,4352,28.654411764705884,21.0,67.0,165.0,260.0,7.794,7.777,0,0,exact normalized path
GET /auth/session,GET /auth/session,268,4.466666666666667,9,1.3647705861384123,268,240393,26.470149253731343,18.0,77.0,128.0,140.0,7.094,7.094,0,0,exact normalized path
GET /ads/interstitial/eligibility,GET /ads/interstitial/eligibility,183,3.05,8,0.9319142435198859,183,33082,24.62295081967213,19.0,58.0,118.0,126.0,4.506,4.507,0,0,exact normalized path
POST /races/:id/powerups/:id/use,POST /races/:id/powerups/:id/u,162,2.7,10,0.8249732647553089,162,57477,359.51851851851853,264.0,860.0,1256.0,1735.0,58.242,58.235,6,0,unique prefix (app telemetry truncates raw paths)
POST /notifications/device-token,POST /notifications/device-token,145,2.4166666666666665,7,0.7384019962316036,145,12915,71.19310344827586,43.0,224.0,342.0,402.0,10.323,10.317,0,0,exact normalized path
POST /races/:id/powerups/:id/open,POST /races/:id/powerups/:id/o,113,1.8833333333333333,8,0.5754443143046291,113,15943,56.557522123893804,37.0,117.0,382.0,463.0,6.391,6.387,0,0,unique prefix (app telemetry truncates raw paths)
